PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU331110331110,,,,,,,,,,,
Series Title:,"PPI industry data for Iron and steel mills and ferroalloy mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Iron and steel mills and ferroalloy mfg,,,,,,,,,,,
Product:,Iron and steel mills and ferroalloy mfg,,,,,,,,,,,
Base Date:,198206,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,113.9,113.2,112.9,112.9,112.8,112.7,112.6,112.1,110.8,109.1,107.2,105.7
1999,104.0,102.6,102.4,102.2,101.5,102.0,101.5,101.3,101.0,101.4,101.7,102.3
2000,103.1,103.7,104.4,105.6,106.0,105.8,105.7,104.6,104.3,103.1,101.8,100.9
2001,99.3,98.5,98.4,97.6,97.3,96.9,97.1,96.7,96.1,95.6,95.2,94.7
2002,94.1,94.1,95.4,96.2,97.7,99.5,101.1,102.7,104.8,105.4,105.1,104.7
2003,104.2,104.0,103.7,103.8,103.3,102.9,102.3,102.3,102.8,104.4,105.3,106.7
2004,109.9,116.0,121.7,129.8,136.3,134.8,138.6,144.4,148.1,150.6,153.0,153.8
2005,157.4,157.9,153.2,151.3,147.1,141.5,139.3,133.7,136.1,140.6,146.1,146.1
2006,149.8,149.7,149.8,151.3,153.4,159.9,167.5,169.7,174.5,176.5,167.9,167.5
2007,163.5,166.5,170.3,177.8,181.0,181.2,180.2,172.1,168.3,165.1,168.4,169.9
2008,171.5,173.1,182.1,194.9,213.5,227.5,232.3,237.6,231.2,208.3,191.3,167.0
2009,159.1,152.3,148.4,138.3,135.0,136.6,140.1,145.7,151.8,158.1,153.9,154.1
2010,158.8,164.7,170.3,179.0,186.5,189.2,180.2,173.5,173.5,175.1,174.7,175.9
2011,181.4,193.0,197.7,201.5,201.5,199.2,199.7,200.0,199.7,197.8,196.6,196.1
2012,196.3,198.2,196.3,196.3,195.2,189.9,186.0,180.7,183.7,179.5,177.4,179.1
2013,179.1,177.6,176.9,177.6,174.9,175.1,175.6,175.3,174.3,176.6,178.9,180.0
2014,181.4,182.1,180.6,182.1,183.3,183.7,184.6,185.2,185.4,184.5,183.1,180.9
2015,178.0,173.0,169.1,163.7,160.2,159.7,159.0,157.4,155.1,151.6,146.0,142.1
2016,139.7,138.6,138.7,142.7,148.1,151.6,154.6,157.6,156.0,154.0,153.5,155.4
2017,159.6,163.4,166.1,167.3,170.3,171.5,175.2,168.6,171.0,169.3,167.3,168.3
2018,169.3,174.6,177.7,182.0,188.9,192.9,196.5,200.4,203.5,202.2,205.2,203.9
2019,201.7,195.3,195.7,191.8,189.3,184.6,178.8,175.5,174.2,171.9,167.0,163.7
2020,163.6,163.9,165.4,164.6,160.1,159.6,158.7,156.0,,,,
